PROV_CODE,PROV_NAME,PROVIDER_NETWORK,PROVIDER_PRACTICE,PROVIDER_REGION,PROVIDER_TOWN
20150,Al Mouwasat Dispensary - Dammam,J. ONW,Polyclinic,Eastern,Dammam
22948,British Medical Center - BMC,F. NW5,Polyclinic,Overseas,Kuwait
22952,Demas Medical Clinics & Dialysis Center,C. NW2,Dialysis Center,Central,Riyadh
22640,Bupa Cromwell Hospital,N14,Hospital,Overseas,London
22559,Royal Bahrain Hospital,H. NW7,Hospital,Overseas,Manama
20221,Al Ahli Polyclinic (Arar),J. ONW,Clinic,Southern,Najran
21450,Ibn Al-Nafees Hospital,D. NW3,Hospital,Overseas,Manama
22562,Kims Bahrain Medical Center,E. NW4,Polyclinic,Overseas,Manama
22128,Quadrat for Specialized Medical Services,A. NWR,Hospital,Overseas,Cairo
22860,Aga Khan Hospital For Woman - Karimabad,A. NWR,Hospital,Overseas,Pakistan
22861,Aga Khan Hospital for Woman - Garden,A. NWR,Hospital,Overseas,Pakistan
22862,Aga Khan Hospital for Woman and Children - Kharadar,A. NWR,Hospital,Overseas,Pakistan
22863,Aga Khan Maternity and Child Care Center - Hyderabad,A. NWR,Hospital,Overseas,Pakistan
22896,Kerala Institute of Medical Scienses (KIMS) - Thiruvananthapuram,A. NWR,Hospital,Overseas,India
20276,Islamic Hospital ( Amman ),F. NW5,Hospital,Overseas,Amman
21904,Zulekha Hospital - Sharjah,F. NW5,Hospital,Overseas,Sharja
22131,Zulekha Hospital - Dubai,F. NW5,Hospital,Overseas,"Dubai, UAE"
22687,Magrabi Hospital - Egypt,F. NW5,Hospital,Overseas,Cairo
22813,Najjar Hospital,F. NW5,Hospital,Overseas,Beirut
22825,Saudi German Hospital (SGH - Dubai),G. NW6,Hospital,Overseas,"Dubai, UAE"
22235,Bahrain Defence Force Royal Medical Services,I. SPA,Polyclinic,Overseas,Manama
22890,HHC - Mohammad Dossary Hospital,I. SPA,Home Healthcare,Eastern,Khobar
22936,HHC - Extended Medical Care Center,I. SPA,Home Healthcare,Western,Jeddah
20722,American University of Beirut - Medical Center,H. NW7,Hospital,Overseas,Beirut
20724,The New Mowasat Hospital,H. NW7,Hospital,Overseas,Kuwait
21745,International Modern Hospital,H. NW7,Hospital,Overseas,"Dubai, UAE"
21705,Bahrain Specialist Hospital,H. NW7,Hospital,Overseas,Manama
21872,Al Hilal Multispeciality Hospital,H. NW7,Hospital,Overseas,Manama
21971,Mediclinic Mirdif,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
22053,Mediclinic City Hospital,H. NW7,Hospital,Overseas,"Dubai, UAE"
22081,Taiba Hospital - Salem,H. NW7,Hospital,Overseas,Kuwait
22240,Shifa Al Jazeera Medical Center (Bahrain),H. NW7,Hospital,Overseas,Manama
20729,Mediclinic Welcare Hospital,H. NW7,Hospital,Overseas,"Dubai, UAE"
21710,Mediclinic Al Sufouh,H. NW7,Polyclinic,Overseas,"Dubai, UAE"
21716,Cedars - Jebel Ali International Hospital,H. NW7,Hospital,Overseas,"Dubai, UAE"
22767,Jordan Hospital,H. NW7,Hospital,Overseas,Amman
22864,Badr Al Sama'a - Soor,H. NW7,Polyclinic,Overseas,Oman
22865,Badr Al Sama'a - Salalah,H. NW7,Polyclinic,Overseas,Oman
22866,Badr Al Sama'a - Sahar,H. NW7,Polyclinic,Overseas,Oman
22867,Badr Al Sama'a - Ruwi / Al Khuwairi / Al Khoud,H. NW7,Polyclinic,Overseas,Oman
22868,Badr Al Sama'a - Barka,H. NW7,Polyclinic,Overseas,Oman
22869,Badr Al Sama'a - Nazwa,H. NW7,Polyclinic,Overseas,Oman
22898,Magrabi Eye Hospital  - Dubai,H. NW7,Eye Center,Overseas,"Dubai, UAE"
22899,Magrabi Specialized Hospital - Abu Dhabi,H. NW7,Hospital,Overseas,Abu Dhabi
20197,Al Aidi National Clinic,J. ONW,Clinic,Central,Bureidah
20052,Al Amal Clinic (Qatif),J. ONW,Clinic,Eastern,Qatif
22888,Saudi Airlines Catering,K. IHC,In-house Clinic,Western,Jeddah
22853,Saudi Ground Services Company,K. IHC,In-house Clinic,Western,Jeddah
22883,Aga Khan University Hospital - Karachi,A. NWR,Hospital,Overseas,Pakistan
22348,Bin Rushd Medical Center,B. NW1,Eye Center,Central,Riyadh
20077,Dr Erfan & Bagedo General Hospital,G. NW6,Hospital,Western,Jeddah
21708,Specialist Polyclinic,J. ONW,Clinic,Southern,Abha
22970,Al Jazeera Hospital - Jordan,H. NW7,Hospital,Overseas,Amman
22973,Fortis Flt. Lt. Rajan Dhall Hospital-Vasant Kunj-New Delhi,D. NW3,Hospital,Overseas,India
22974,Fortis La Femme Greater Kailash II - New Delhi,D. NW3,Hospital,Overseas,India
22975,Fortis Escorts Heart Institute & Research Centre Okhla Road - New Delhi,D. NW3,Cardiac Center,Overseas,India
22976,Fortis Hospital Shalimar Bagh - New Delhi,D. NW3,Hospital,Overseas,India
22977,Fortis C-DOC Chirag Enclave - New Delhi,D. NW3,Hospital,Overseas,India
22978,Fortis Hospital - Noida,D. NW3,Hospital,Overseas,India
22979,Fortis Escorts Hospital - Faridabad,D. NW3,Hospital,Overseas,India
22980,Fortis Hospital - Mohali,D. NW3,Hospital,Overseas,India
22981,Fortis Escorts Hospital - Amritsar,D. NW3,Hospital,Overseas,India
22982,Fortis Memorial Research Institute - Gurgaon,D. NW3,Hospital,Overseas,India
22983,Fortis Hospital - Bannerghatta Road - Bangalore,D. NW3,Hospital,Overseas,India
22984,Fortis Hospital - Cunningham Road - Bangalore,D. NW3,Hospital,Overseas,India
22985,Fortis Hospital - Seshadripuram - Bangalore,D. NW3,Hospital,Overseas,India
22986,Fortis Hospital - Nagarbhavi - Bangalore,D. NW3,Hospital,Overseas,India
22987,Fortis Hospital - Rajajinagar - Bangalore,D. NW3,Hospital,Overseas,India
22988,Fortis Escorts Hospital - Jaipur,D. NW3,Hospital,Overseas,India
22989,Fortis Escorts Heart Centre - Raipur,D. NW3,Cardiac Center,Overseas,India
22991,Fortis Hiranandani Hospital Vashi - Mumbai,D. NW3,Hospital,Overseas,India
22992,Fortis Hospital - Mulund - Mumbai,D. NW3,Hospital,Overseas,India
22993,Fortis Escorts Hospital - Dehradun,D. NW3,Hospital,Overseas,India
22994,Fortis Hospital & Kidney Institute - Rash Behari Avenue - Kolkata,D. NW3,Hospital,Overseas,India
22995,Fortis Hospital - Anandapur - Kolkata,D. NW3,Hospital,Overseas,India
22996,Fortis Medical Centre - Kolkata,D. NW3,Hospital,Overseas,India
22997,Fortis Jessa Ram Hospital - New Delhi,D. NW3,Hospital,Overseas,India
22998,Fortis Modi Hospital - Rajasthan,D. NW3,Hospital,Overseas,India
22999,Fortis S.L. Raheja Hospital - Mahim - Mumbai,D. NW3,Hospital,Overseas,India
23000,Fortis Hospital - Kalyan,D. NW3,Hospital,Overseas,India
23001,Fortis hospitals - Agra -Faridabad,D. NW3,Hospital,Overseas,India
20255,Al Darb National Polyclinic (Al-Darb),J. ONW,Clinic,Southern,Al Darb
23006,Saudi Italy Dental Center - Al Nuairiyah,L. NWS,Dental,Eastern,Al Nuairiyah
22062,Al Aqiq Medical Clinic Center,J. ONW,Clinic,Central,Riyadh
22457,Bilad Al Tib Medical Clinic 1,J. ONW,Clinic,Central,Riyadh
20046,Dr Ahmed Abdulsalam Private Clinic,J. ONW,Clinic,Western,Jeddah
20720,Al Jawhara Polyclinic,J. ONW,Clinic,Western,Jeddah
21885,Al Ryan Medical Polyclinic,J. ONW,Polyclinic,Northern,Arar
22170,Consultative Polyclinic - The Radiodiagnostic Center,J. ONW,Polyclinic,Western,Jeddah
22347,Advanced Medicine,J. ONW,Clinic,Western,Jeddah
22379,Amat Medical Clinic,J. ONW,Clinic,Central,Riyadh
22485,Razan Medical Clinic,J. ONW,Clinic,Western,Jeddah
22529,Al Ogaly Dental Clinic,J. ONW,Dental,Western,Jeddah
22573,Dr Saud Naqshapandy Dental Clinic 4,J. ONW,Dental,Central,Riyadh
22570,Dr Saud Naqshapandy Dental Clinic 1,J. ONW,Dental,Central,Riyadh
22574,Taha Optical Center,J. ONW,Optical,Western,Jeddah
22583,Al Shawi Medical Dispensary,J. ONW,Clinic,Eastern,Al Hasa
22597,Abdullah Kashghari Medical Company Partners,J. ONW,Polyclinic,Eastern,Khobar
22637,Dr Ghazwa Abdulkarim Al Mahmoud Clinic,J. ONW,Dental,Western,Jeddah
22639,Ibn Sina,J. ONW,Clinic,Central,Hail
22654,Al Miawiyah Consultative Clinic 8,J. ONW,Clinic,Central,Riyadh
22656,Dr Mamoun M Shawa Clinic,J. ONW,Clinic,Western,Jeddah
22732,Dr Hamid Al Fallaj Polyclinics,J. ONW,Polyclinic,Northern,Sakaka
22919,Dr Sulaiman Al Malq Polyclinic,J. ONW,Polyclinic,Western,Madinah
20107,Al Nasr Medical Clinic,J. ONW,Clinic,Western,Taif
22947,Dar Al Tteb Medical Center ( Not in use),J. ONW,Polyclinic,Southern,Abha
21902,Dr Abdulrahman Shafiek Ramadan Private Clinic,J. ONW,Clinic,Western,Jeddah
22746,Farhan Mohammed Al Nader Clinic - Al Aflaj,J. ONW,Clinic,Central,Riyadh
22765,Al Miawiyah Consultative Clinic 3,J. ONW,Clinic,Central,Riyadh
22789,Al Mansoura Medical Clinic,J. ONW,Clinic,Central,Riyadh
22797,Gulf Atheer Clinic,J. ONW,Clinic,Western,Jeddah
22798,Al Marwa Medical Clinic,J. ONW,Clinic,Central,Riyadh
22804,Motamayzoon Medical Center,J. ONW,Clinic,Central,Riyadh
22821,Fursan Medical Center,J. ONW,Clinic,Central,Riyadh
22837,Family Care Specialist Polyclinic,J. ONW,Polyclinic,Southern,Bisha
22879,Al Quwaiyah National Clinic,J. ONW,Clinic,Central,Riyadh
22904,Dr Saad Al Gwaiz Medical Center,J. ONW,Polyclinic,Central,Riyadh
22950,Al Salamah National Clinic,J. ONW,Clinic,Southern,Al Baha
22815,Al Habib National Clinic,J. ONW,Clinic,Central,Bureidah
21260,Al Salam Polyclinic,J. ONW,Clinic,Southern,Sarat Obaidah
20446,Badr Al Samaa Polyclinic (ex Al Batha Medical Ctr),J. ONW,Polyclinic,Central,Riyadh
20004,Al Ansar New Polyclinic,J. ONW,Polyclinic,Western,Jeddah
0,NON PROVIDER SETTLEMENT,X. RBSMNT,Reimbursement,Reimbursement,Reimbursement
20011,Al Eskan Polyclinic,J. ONW,Clinic,Western,Jeddah
20013,Al Faraby Dispensary(NOT IN USE),J. ONW,Polyclinic,Eastern,Dammam
20038,Al Salam International Hospital (Jeddah),J. ONW,Hospital,Western,Jeddah
20047,Al Waten Clinic,J. ONW,Clinic,Southern,Abha
20048,Yamamah Clinic,J. ONW,Polyclinic,Central,Riyadh
20049,Badr Al Samah Polyclinic,J. ONW,Clinic,Southern,Gizan
20060,Azzaeyd Hospital,J. ONW,Hospital,Central,Ar Russ
20062,Muhammed S. Basharahil Hospital (Not in Use),J. ONW,Hospital,Southern,Abha
20067,Al Shabana General Hospital,J. ONW,Hospital,Eastern,Jubail
20071,Dr Abdul Rahman Bakhsh Hospital - Mina (Ex Dar Alshifa Saudi),J. ONW,Hospital,Western,Jeddah
20078,Al Lieth National Polyclinic,J. ONW,Polyclinic,Southern,Ghonfodah
20099,Gamed Clinic,J. ONW,Clinic,Southern,Baljurashi
20115,Khudran National Polyclinic,J. ONW,Clinic,Southern,Nemrah
20125,Mohammed Bin Ladin Group (Jeddah),J. ONW,Clinic,Western,Jeddah
20131,Al Mishari Consultative Center,J. ONW,Clinic,Western,Taif
20141,New Medical Centre Specialty Hospital - Abu Dhabi,J. ONW,Hospital,Overseas,Abu Dhabi
20145,Transad Clinic,J. ONW,Clinic,Central,Riyadh
20158,GNP Clinic - Tabuk,J. ONW,Dental,Northern,Tabuk
20164,Aljomaih Group - Riyadh 1 - IHC (Medication),K. IHC,In-house Clinic,Central,Riyadh
20171,Aljomaih Group - Riyadh 2 - IHC (Medication),K. IHC,In-house Clinic,Central,Riyadh
20172,Al Hujielan Medical Dispensary,J. ONW,Clinic,Eastern,Hafr Al Batin
20176,Saad Specialist Hospital (NOT IN USE),J. ONW,Hospital,Eastern,Khobar
20185,Aljomaih Group - Dammam - IHC (Medication),K. IHC,In-house Clinic,Eastern,Dammam
20187,Makkah Medical Center (not in use),J. ONW,Hospital,Western,Makkah
20195,Falah Medical Clinic,J. ONW,Clinic,Central,Sajer
20196,Aljomaih Group - Jeddah - IHC (Medication),K. IHC,In-house Clinic,Western,Jeddah
20201,Al Salam National Polyclinic,J. ONW,Clinic,Central,Unayzah
20202,Medi Care Polyclinic,J. ONW,Clinic,Central,Unayzah
20204,Najad National Clinic ( Onaizah ),J. ONW,Clinic,Central,Unayzah
20205,Al Taya Polyclinic,J. ONW,Clinic,Central,Ar Russ
20206,Al Shark National Clinic,J. ONW,Clinic,Central,Ar Russ
20209,Abo Zeed Polyclinic,J. ONW,Clinic,Central,Al Dawadmi
20210,Al Husainy Hospital,J. ONW,Hospital,Central,Al Dawadmi
20211,Al Mugarri Dispensary,J. ONW,Clinic,Central,Al Dawadmi
20212,Mohammed Bin Ladin Group (Madinah),J. ONW,Clinic,Western,Madinah
20218,Mohammed Bin Ladin Group (Makkah),J. ONW,Clinic,Western,Makkah
20223,Dr Aly Abo Taleb Polyclinics,J. ONW,Clinic,Northern,Qrayat
20225,Al Ejlal Private Hospital,J. ONW,Hospital,Western,Madinah
20227,Al Habib Polyclinic - Not in use,J. ONW,Clinic,Central,Bureidah
20230,Al Naser Medical Clinic,J. ONW,Clinic,Northern,Sakaka
20231,Mansour Saleh Al Hazim Medical Group (ex Al Hanan Clinic),J. ONW,Clinic,Northern,Al Jouf
20234,Al Saher Medical Center Polyclinic,J. ONW,Clinic,Central,Afif
20235,El Sheefa Medical Center,J. ONW,Clinic,Western,Taif
20239,Al Hashboul National Clinic,J. ONW,Clinic,Southern,Al Aqiq
20242,Abha National Clinic,J. ONW,Clinic,Southern,Abha
20243,Al Aqsa Specialty Hospital( Ex Al Watan Gulf Hosp/Astoon Hosp / Haramain),J. ONW,Hospital,Southern,Ahad Rufaidah
20245,Al Safa Polyclinic Modern Medical,J. ONW,Clinic,Southern,Ahad Rufaidah
20251,SSF In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
20253,Al Aradia Northerner National Clinic (Namera),J. ONW,Clinic,Southern,Nemrah
20262,Al Salamah Polyclinic (Abu-Arish),J. ONW,Clinic,Southern,Abu Arish
20263,Al Salama Polyclinic (Baha),J. ONW,Clinic,Southern,Al Baha
20274,Al Faraby Medical Center(NOT IN USE),J. ONW,Polyclinic,Eastern,Khobar
20277,Amman Surgical Hospital,J. ONW,Hospital,Overseas,Amman
20280,Al Amal Clinic (Muhayel),J. ONW,Clinic,Southern,Muhayel
20281,Jizan National Clinic,J. ONW,Clinic,Southern,Gizan
20282,Al Emeis Polyclinic (Gizan) (NOT IN USE),J. ONW,Clinic,Southern,Gizan
20284,Dr Joseph Katrib Clinic,J. ONW,Clinic,Western,Jeddah
20289,Khalid Ali Al Turki & Sons - IHC (Capitated),K. IHC,In-house Clinic,Eastern,Khobar
20293,Qima Polyclinic,J. ONW,Clinic,Central,Al Zulfi
20298,Al Shifa Polyclinic - Al Bada'a,J. ONW,Polyclinic,Northern,Tabuk
20373,Al Nakheel National Clinic,J. ONW,Clinic,Southern,Abha
20437,Al Mana Medical Dispensary (Not in use effective 01/02/2004),J. ONW,Clinic,Eastern,Dammam
20439,Consultant Radiologist (INACTIVE),J. ONW,Radiology,Central,Riyadh
20448,Ras Tanura Gulf Medical Clinic,J. ONW,Clinic,Eastern,Ras Tanura
20449,Al Ansar Modern Clinic (Al-Nozha District),J. ONW,Polyclinic,Western,Jeddah
20519,Asian Clinic ( Not in Use ),J. ONW,Clinic,Western,Jeddah
20551,Al Mawiyah Consultative Clinics,J. ONW,Clinic,Central,Riyadh
20580,Gazzal Pharmacy,J. ONW,Pharmacy,Western,Jeddah
20590,Dr Samia Felemban Dental Clinic,J. ONW,Clinic,Western,Jeddah
20601,Dr Samia Felemban Dental Clinic - Invalid,J. ONW,Clinic,Southern,Abha
20670,Saihat Khalij Clinic,J. ONW,Clinic,Eastern,Sayhat
20723,Trad Hospital & Medical Center,J. ONW,Hospital,Overseas,Beirut
20728,Corniche A. Rosewood Hotel IHC (SALARY),K. IHC,In-house Clinic,Western,Jeddah
20730,Al Noor Hospital - ** Dont use,J. ONW,Hospital,Overseas,Abu Dhabi
20741,Corniche A. Rosewood Hotel IHC (Medication),K. IHC,In-house Clinic,Western,Jeddah
20745,Al Salam Holiday Inn IHC (Medication),K. IHC,In-house Clinic,Western,Jeddah
20746,Al Salam Holiday Inn IHC (SALARY),K. IHC,In-house Clinic,Western,Jeddah
20750,Al Watan Medical Group - Riyadh,J. ONW,Polyclinic,Central,Riyadh
20781,Al Bishri Polyclinic - Asfan Polyclinic,J. ONW,Clinic,Western,Asfan
20790,Al Noor Hospital,J. ONW,Hospital,Overseas,Abu Dhabi
20800,Al Faraby Dispensary (NOT IN USE) 1st Industrial City - Dammam,J. ONW,Polyclinic,Eastern,Dammam
20810,Arrawdha Dispensary - Not in use,J. ONW,Clinic,Eastern,Dammam
20920,Al Yamamah Steel Industries Company Ltd. IHC (Medication),K. IHC,In-house Clinic,Western,Jeddah
21231,Al Baraka Medical Clinic (Old Contract),J. ONW,Clinic,Western,Jeddah
21240,Assahil Medical Polyclinic,J. ONW,Clinic,Southern,Ghonfodah
21280,Jeddah National Pharmacy,J. ONW,Pharmacy,Western,Jeddah
21290,Ibn Al-Nafees Hospital (Not in use effective 01/01/2004),J. ONW,Hospital,Overseas,Manama
21301,Gulf Radiology Center,J. ONW,Radiology,Central,Riyadh
21330,Saudi Arabian Glass - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21360,National Commercial Bank (Jeddah) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21370,National Commercial Bank (Riyadh) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Central,Riyadh
21380,SAVOLA - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21381,Al Othman (NADA) - In-House Clinic - (MEDICATION),K. IHC,In-house Clinic,Eastern,Hofuf
21382,Al Mubarakia Hotels - In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
21383,Jeddah Mariott Hotel - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21384,PEPSI Bugshan - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21385,Sleep High - In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
21386,Americana Cake - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21387,Saudi Snack Food (Riyadh) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Central,Riyadh
21388,Al Sorayai Group - In-House Clinic (Medication/Capitated),K. IHC,In-house Clinic,Western,Jeddah
21392,Pharmaceutical Solution - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21470,DAMS Drug Store,J. ONW,Pharmacy,Central,Riyadh
21480,Saudi Cable Company - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21481,Balubaid Group - In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
21490,MPC Clinic (P&G) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21491,Al Essayi Group (NBCC) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21510,Olaya Holiday Inn (Riyadh) - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Central,Riyadh
21540,(Not to Use) International Hospital of Bahrain,J. ONW,Hospital,Overseas,Manama
21570,Sheraton Jeddah Hotel - In-House Clinic (MEDICATION),K. IHC,In-house Clinic,Western,Jeddah
21672,Al Othman (NADA) - In-House Clinic (SALARY),K. IHC,In-house Clinic,Eastern,Hofuf
21673,Al Sorayai Group - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21674,Americana Cake - In-house Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21675,Jeddah Mariott Hotel - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21676,Olaya Holiday Inn (Riyadh) - In-House (SALARY),K. IHC,In-house Clinic,Central,Riyadh
21677,PEPSI Bugshan - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21678,Pharmaceutical Solution - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21679,Saudi Arabian Glass - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21680,Saudi Cable Company - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21681,Sheraton Jeddah Hotel - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21682,National Commercial Bank (Riyadh) - In-House Clinic (SALARY,K. IHC,In-house Clinic,Central,Riyadh
21683,Saudi Snack Food (Riyadh) - In-House Clinic (SALARY),K. IHC,In-house Clinic,Central,Riyadh
21684,MPC Clinic (P&G) - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21685,National Commercial Bank (Jeddah) - In-House Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21688,Al Yamamah Steel Industries Company Ltd. IHC (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21689,Makkah Water Co Clinic - In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
21691,SSP - In-House Clinic,K. IHC,In-house Clinic,Eastern,Dammam
21692,Belleli - In-House Clinic,K. IHC,In-house Clinic,Western,Jeddah
21700,Dr Abdul Rahman Taha Bakhsh Hospital (East Highway),J. ONW,Hospital,Western,Jeddah
21702,Food & Fine Pastries Manufacturing Co. - Inhouse  Clinic,K. IHC,In-house Clinic,Western,Jeddah
21703,Xenel Industries Ltd - In-House Clinic (Medication),K. IHC,In-house Clinic,Western,Jeddah
21713,International SOS (Gulf) W.L.L.,J. ONW,Hospital,Overseas,"Dubai, UAE"
21714,Modern Industries Company - Inhouse Clinic,K. IHC,In-house Clinic,Eastern,Dammam
21715,Easternpak - In-House Clinic (Medications),K. IHC,In-house Clinic,Eastern,Dammam
21717,Saudi Ready Mix - In-House Clinic (Medication + Salary),K. IHC,In-house Clinic,Eastern,Khobar
21719,General Agencies & Contracting - Inhouse Clinic (Medication),K. IHC,In-house Clinic,Western,Jeddah
21720,General Agencies & Contracting - Inhouse Clinic (SALARY),K. IHC,In-house Clinic,Western,Jeddah
21726,Medical Center for Consultative Clinics,J. ONW,Clinic,Southern,Abha
21729,Al Hadi Medical Clinic,J. ONW,Clinic,Eastern,Qatif
